,quantity,date,region,Sales
100,513,2018-03-03,north,1539.0
101,500,2018-03-03,south,1500.0
102,523,2018-03-03,east,1569.0
103,519,2018-03-03,west,1557.0
104,591,2018-03-04,north,1773.0
105,548,2018-03-04,south,1644.0
106,538,2018-03-04,east,1614.0
107,558,2018-03-04,west,1674.0
108,511,2018-03-05,north,1533.0
109,551,2018-03-05,south,1653.0
110,519,2018-03-05,east,1557.0
111,582,2018-03-05,west,1746.0
112,573,2018-03-06,north,1719.0
113,573,2018-03-06,south,1719.0
114,553,2018-03-06,east,1659.0
115,600,2018-03-06,west,1800.0
116,527,2018-03-07,north,1581.0
117,534,2018-03-07,south,1602.0
118,536,2018-03-07,east,1608.0
119,550,2018-03-07,west,1650.0
120,537,2018-03-08,north,1611.0
121,510,2018-03-08,south,1530.0
122,566,2018-03-08,east,1698.0
123,556,2018-03-08,west,1668.0
124,582,2018-03-09,north,1746.0
125,508,2018-03-09,south,1524.0
126,502,2018-03-09,east,1506.0
127,568,2018-03-09,west,1704.0
128,596,2018-03-10,north,1788.0
129,573,2018-03-10,south,1719.0
130,582,2018-03-10,east,1746.0
131,528,2018-03-10,west,1584.0
132,564,2018-03-11,north,1692.0
133,545,2018-03-11,south,1635.0
134,536,2018-03-11,east,1608.0
135,530,2018-03-11,west,1590.0
136,533,2018-03-12,north,1599.0
137,506,2018-03-12,south,1518.0
138,534,2018-03-12,east,1602.0
139,553,2018-03-12,west,1659.0
140,548,2018-03-13,north,1644.0
141,537,2018-03-13,south,1611.0
142,518,2018-03-13,east,1554.0
143,505,2018-03-13,west,1515.0
144,505,2018-03-14,north,1515.0
145,544,2018-03-14,south,1632.0
146,504,2018-03-14,east,1512.0
147,592,2018-03-14,west,1776.0
148,559,2018-03-15,north,1677.0
149,501,2018-03-15,south,1503.0
150,535,2018-03-15,east,1605.0
151,549,2018-03-15,west,1647.0
152,502,2018-03-16,north,1506.0
153,579,2018-03-16,south,1737.0
154,530,2018-03-16,east,1590.0
155,589,2018-03-16,west,1767.0
156,531,2018-03-17,north,1593.0
157,538,2018-03-17,south,1614.0
158,570,2018-03-17,east,1710.0
159,554,2018-03-17,west,1662.0
160,550,2018-03-18,north,1650.0
161,585,2018-03-18,south,1755.0
162,566,2018-03-18,east,1698.0
163,553,2018-03-18,west,1659.0
164,561,2018-03-19,north,1683.0
165,503,2018-03-19,south,1509.0
166,500,2018-03-19,east,1500.0
167,515,2018-03-19,west,1545.0
168,549,2018-03-20,north,1647.0
169,538,2018-03-20,south,1614.0
170,543,2018-03-20,east,1629.0
171,559,2018-03-20,west,1677.0
172,581,2018-03-21,north,1743.0
173,523,2018-03-21,south,1569.0
174,531,2018-03-21,east,1593.0
175,526,2018-03-21,west,1578.0
176,526,2018-03-22,north,1578.0
177,527,2018-03-22,south,1581.0
178,551,2018-03-22,east,1653.0
179,526,2018-03-22,west,1578.0
180,587,2018-03-23,north,1761.0
181,537,2018-03-23,south,1611.0
182,583,2018-03-23,east,1749.0
183,588,2018-03-23,west,1764.0
184,572,2018-03-24,north,1716.0
185,570,2018-03-24,south,1710.0
186,600,2018-03-24,east,1800.0
187,576,2018-03-24,west,1728.0
188,581,2018-03-25,north,1743.0
189,588,2018-03-25,south,1764.0
190,580,2018-03-25,east,1740.0
191,569,2018-03-25,west,1707.0
192,503,2018-03-26,north,1509.0
193,547,2018-03-26,south,1641.0
194,511,2018-03-26,east,1533.0
195,584,2018-03-26,west,1752.0
196,589,2018-03-27,north,1767.0
197,530,2018-03-27,south,1590.0
198,511,2018-03-27,east,1533.0
199,568,2018-03-27,west,1704.0
200,557,2018-03-28,north,1671.0
201,509,2018-03-28,south,1527.0
202,508,2018-03-28,east,1524.0
203,543,2018-03-28,west,1629.0
204,574,2018-03-29,north,1722.0
205,519,2018-03-29,south,1557.0
206,562,2018-03-29,east,1686.0
207,593,2018-03-29,west,1779.0
208,578,2018-03-30,north,1734.0
209,592,2018-03-30,south,1776.0
210,518,2018-03-30,east,1554.0
211,575,2018-03-30,west,1725.0
212,539,2018-03-31,north,1617.0
213,545,2018-03-31,south,1635.0
214,535,2018-03-31,east,1605.0
215,595,2018-03-31,west,1785.0
216,587,2018-04-01,north,1761.0
217,510,2018-04-01,south,1530.0
218,570,2018-04-01,east,1710.0
219,502,2018-04-01,west,1506.0
220,503,2018-04-02,north,1509.0
221,599,2018-04-02,south,1797.0
222,554,2018-04-02,east,1662.0
223,510,2018-04-02,west,1530.0
224,589,2018-04-03,north,1767.0
225,589,2018-04-03,south,1767.0
226,538,2018-04-03,east,1614.0
227,511,2018-04-03,west,1533.0
228,589,2018-04-04,north,1767.0
229,587,2018-04-04,south,1761.0
230,522,2018-04-04,east,1566.0
231,541,2018-04-04,west,1623.0
232,502,2018-04-05,north,1506.0
233,504,2018-04-05,south,1512.0
234,564,2018-04-05,east,1692.0
235,583,2018-04-05,west,1749.0
236,567,2018-04-06,north,1701.0
237,584,2018-04-06,south,1752.0
238,544,2018-04-06,east,1632.0
239,505,2018-04-06,west,1515.0
240,575,2018-04-07,north,1725.0
241,537,2018-04-07,south,1611.0
242,596,2018-04-07,east,1788.0
243,539,2018-04-07,west,1617.0
244,552,2018-04-08,north,1656.0
245,558,2018-04-08,south,1674.0
246,519,2018-04-08,east,1557.0
247,567,2018-04-08,west,1701.0
248,562,2018-04-09,north,1686.0
249,594,2018-04-09,south,1782.0
250,547,2018-04-09,east,1641.0
251,519,2018-04-09,west,1557.0
252,562,2018-04-10,north,1686.0
253,509,2018-04-10,south,1527.0
254,566,2018-04-10,east,1698.0
255,576,2018-04-10,west,1728.0
256,557,2018-04-11,north,1671.0
257,509,2018-04-11,south,1527.0
258,527,2018-04-11,east,1581.0
259,588,2018-04-11,west,1764.0
260,551,2018-04-12,north,1653.0
261,542,2018-04-12,south,1626.0
262,594,2018-04-12,east,1782.0
263,583,2018-04-12,west,1749.0
264,513,2018-04-13,north,1539.0
265,584,2018-04-13,south,1752.0
266,558,2018-04-13,east,1674.0
267,583,2018-04-13,west,1749.0
268,523,2018-04-14,north,1569.0
269,598,2018-04-14,south,1794.0
270,558,2018-04-14,east,1674.0
271,546,2018-04-14,west,1638.0
272,505,2018-04-15,north,1515.0
273,509,2018-04-15,south,1527.0
274,534,2018-04-15,east,1602.0
275,551,2018-04-15,west,1653.0
276,534,2018-04-16,north,1602.0
277,569,2018-04-16,south,1707.0
278,516,2018-04-16,east,1548.0
279,509,2018-04-16,west,1527.0
280,533,2018-04-17,north,1599.0
281,576,2018-04-17,south,1728.0
282,568,2018-04-17,east,1704.0
283,513,2018-04-17,west,1539.0
284,515,2018-04-18,north,1545.0
285,599,2018-04-18,south,1797.0
286,505,2018-04-18,east,1515.0
287,573,2018-04-18,west,1719.0
288,571,2018-04-19,north,1713.0
289,558,2018-04-19,south,1674.0
290,589,2018-04-19,east,1767.0
291,589,2018-04-19,west,1767.0
292,556,2018-04-20,north,1668.0
293,540,2018-04-20,south,1620.0
294,559,2018-04-20,east,1677.0
295,503,2018-04-20,west,1509.0
296,561,2018-04-21,north,1683.0
297,581,2018-04-21,south,1743.0
298,548,2018-04-21,east,1644.0
299,526,2018-04-21,west,1578.0
300,524,2018-04-22,north,1572.0
301,515,2018-04-22,south,1545.0
302,519,2018-04-22,east,1557.0
303,542,2018-04-22,west,1626.0
304,570,2018-04-23,north,1710.0
305,553,2018-04-23,south,1659.0
306,555,2018-04-23,east,1665.0
307,507,2018-04-23,west,1521.0
308,501,2018-04-24,north,1503.0
309,550,2018-04-24,south,1650.0
310,563,2018-04-24,east,1689.0
311,581,2018-04-24,west,1743.0
312,541,2018-04-25,north,1623.0
313,501,2018-04-25,south,1503.0
314,586,2018-04-25,east,1758.0
315,519,2018-04-25,west,1557.0
316,571,2018-04-26,north,1713.0
317,578,2018-04-26,south,1734.0
318,580,2018-04-26,east,1740.0
319,521,2018-04-26,west,1563.0
320,572,2018-04-27,north,1716.0
321,597,2018-04-27,south,1791.0
322,558,2018-04-27,east,1674.0
323,572,2018-04-27,west,1716.0
324,544,2018-04-28,north,1632.0
325,547,2018-04-28,south,1641.0
326,528,2018-04-28,east,1584.0
327,530,2018-04-28,west,1590.0
328,571,2018-04-29,north,1713.0
329,531,2018-04-29,south,1593.0
330,580,2018-04-29,east,1740.0
331,546,2018-04-29,west,1638.0
332,551,2018-04-30,north,1653.0
333,530,2018-04-30,south,1590.0
334,531,2018-04-30,east,1593.0
335,534,2018-04-30,west,1602.0
336,595,2018-05-01,north,1785.0
337,588,2018-05-01,south,1764.0
338,502,2018-05-01,east,1506.0
339,512,2018-05-01,west,1536.0
340,541,2018-05-02,north,1623.0
341,558,2018-05-02,south,1674.0
342,597,2018-05-02,east,1791.0
343,551,2018-05-02,west,1653.0
344,595,2018-05-03,north,1785.0
345,523,2018-05-03,south,1569.0
346,500,2018-05-03,east,1500.0
347,590,2018-05-03,west,1770.0
348,551,2018-05-04,north,1653.0
349,530,2018-05-04,south,1590.0
350,557,2018-05-04,east,1671.0
351,543,2018-05-04,west,1629.0
352,526,2018-05-05,north,1578.0
353,555,2018-05-05,south,1665.0
354,525,2018-05-05,east,1575.0
355,529,2018-05-05,west,1587.0
356,558,2018-05-06,north,1674.0
357,595,2018-05-06,south,1785.0
358,573,2018-05-06,east,1719.0
359,539,2018-05-06,west,1617.0
360,598,2018-05-07,north,1794.0
361,521,2018-05-07,south,1563.0
362,576,2018-05-07,east,1728.0
363,580,2018-05-07,west,1740.0
364,539,2018-05-08,north,1617.0
365,550,2018-05-08,south,1650.0
366,576,2018-05-08,east,1728.0
367,545,2018-05-08,west,1635.0
368,528,2018-05-09,north,1584.0
369,549,2018-05-09,south,1647.0
370,517,2018-05-09,east,1551.0
371,504,2018-05-09,west,1512.0
372,579,2018-05-10,north,1737.0
373,517,2018-05-10,south,1551.0
374,505,2018-05-10,east,1515.0
375,572,2018-05-10,west,1716.0
376,582,2018-05-11,north,1746.0
377,559,2018-05-11,south,1677.0
378,528,2018-05-11,east,1584.0
379,539,2018-05-11,west,1617.0
380,581,2018-05-12,north,1743.0
381,511,2018-05-12,south,1533.0
382,507,2018-05-12,east,1521.0
383,526,2018-05-12,west,1578.0
384,515,2018-05-13,north,1545.0
385,571,2018-05-13,south,1713.0
386,555,2018-05-13,east,1665.0
387,548,2018-05-13,west,1644.0
388,592,2018-05-14,north,1776.0
389,520,2018-05-14,south,1560.0
390,548,2018-05-14,east,1644.0
391,501,2018-05-14,west,1503.0
392,600,2018-05-15,north,1800.0
393,586,2018-05-15,south,1758.0
394,567,2018-05-15,east,1701.0
395,557,2018-05-15,west,1671.0
396,531,2018-05-16,north,1593.0
397,539,2018-05-16,south,1617.0
398,542,2018-05-16,east,1626.0
399,543,2018-05-16,west,1629.0
400,576,2018-05-17,north,1728.0
401,502,2018-05-17,south,1506.0
402,530,2018-05-17,east,1590.0
403,542,2018-05-17,west,1626.0
404,594,2018-05-18,north,1782.0
405,524,2018-05-18,south,1572.0
406,513,2018-05-18,east,1539.0
407,503,2018-05-18,west,1509.0
408,596,2018-05-19,north,1788.0
409,571,2018-05-19,south,1713.0
410,542,2018-05-19,east,1626.0
411,543,2018-05-19,west,1629.0
412,516,2018-05-20,north,1548.0
413,572,2018-05-20,south,1716.0
414,584,2018-05-20,east,1752.0
415,546,2018-05-20,west,1638.0
416,525,2018-05-21,north,1575.0
417,557,2018-05-21,south,1671.0
418,542,2018-05-21,east,1626.0
419,524,2018-05-21,west,1572.0
420,524,2018-05-22,north,1572.0
421,523,2018-05-22,south,1569.0
422,527,2018-05-22,east,1581.0
423,507,2018-05-22,west,1521.0
424,547,2018-05-23,north,1641.0
425,564,2018-05-23,south,1692.0
426,571,2018-05-23,east,1713.0
427,521,2018-05-23,west,1563.0
428,508,2018-05-24,north,1524.0
429,511,2018-05-24,south,1533.0
430,565,2018-05-24,east,1695.0
431,511,2018-05-24,west,1533.0
432,533,2018-05-25,north,1599.0
433,555,2018-05-25,south,1665.0
434,571,2018-05-25,east,1713.0
435,548,2018-05-25,west,1644.0
436,592,2018-05-26,north,1776.0
437,510,2018-05-26,south,1530.0
438,550,2018-05-26,east,1650.0
439,504,2018-05-26,west,1512.0
440,543,2018-05-27,north,1629.0
441,569,2018-05-27,south,1707.0
442,507,2018-05-27,east,1521.0
443,587,2018-05-27,west,1761.0
444,585,2018-05-28,north,1755.0
445,553,2018-05-28,south,1659.0
446,600,2018-05-28,east,1800.0
447,513,2018-05-28,west,1539.0
448,571,2018-05-29,north,1713.0
449,584,2018-05-29,south,1752.0
450,543,2018-05-29,east,1629.0
451,545,2018-05-29,west,1635.0
452,558,2018-05-30,north,1674.0
453,567,2018-05-30,south,1701.0
454,538,2018-05-30,east,1614.0
455,598,2018-05-30,west,1794.0
456,575,2018-05-31,north,1725.0
457,553,2018-05-31,south,1659.0
458,512,2018-05-31,east,1536.0
459,540,2018-05-31,west,1620.0
460,598,2018-06-01,north,1794.0
461,541,2018-06-01,south,1623.0
462,555,2018-06-01,east,1665.0
463,557,2018-06-01,west,1671.0
464,584,2018-06-02,north,1752.0
465,569,2018-06-02,south,1707.0
466,599,2018-06-02,east,1797.0
467,556,2018-06-02,west,1668.0
468,532,2018-06-03,north,1596.0
469,501,2018-06-03,south,1503.0
470,526,2018-06-03,east,1578.0
471,560,2018-06-03,west,1680.0
472,536,2018-06-04,north,1608.0
473,561,2018-06-04,south,1683.0
474,524,2018-06-04,east,1572.0
475,552,2018-06-04,west,1656.0
476,571,2018-06-05,north,1713.0
477,566,2018-06-05,south,1698.0
478,519,2018-06-05,east,1557.0
479,594,2018-06-05,west,1782.0
480,565,2018-06-06,north,1695.0
481,560,2018-06-06,south,1680.0
482,587,2018-06-06,east,1761.0
483,553,2018-06-06,west,1659.0
484,506,2018-06-07,north,1518.0
485,524,2018-06-07,south,1572.0
486,595,2018-06-07,east,1785.0
487,519,2018-06-07,west,1557.0
488,573,2018-06-08,north,1719.0
489,559,2018-06-08,south,1677.0
490,565,2018-06-08,east,1695.0
491,534,2018-06-08,west,1602.0
492,594,2018-06-09,north,1782.0
493,591,2018-06-09,south,1773.0
494,552,2018-06-09,east,1656.0
495,555,2018-06-09,west,1665.0
496,526,2018-06-10,north,1578.0
497,547,2018-06-10,south,1641.0
498,579,2018-06-10,east,1737.0
499,519,2018-06-10,west,1557.0
500,596,2018-06-11,north,1788.0
501,559,2018-06-11,south,1677.0
502,566,2018-06-11,east,1698.0
503,576,2018-06-11,west,1728.0
504,592,2018-06-12,north,1776.0
505,517,2018-06-12,south,1551.0
506,516,2018-06-12,east,1548.0
507,514,2018-06-12,west,1542.0
508,561,2018-06-13,north,1683.0
509,561,2018-06-13,south,1683.0
510,524,2018-06-13,east,1572.0
511,561,2018-06-13,west,1683.0
512,587,2018-06-14,north,1761.0
513,556,2018-06-14,south,1668.0
514,533,2018-06-14,east,1599.0
515,531,2018-06-14,west,1593.0
516,541,2018-06-15,north,1623.0
517,579,2018-06-15,south,1737.0
518,531,2018-06-15,east,1593.0
519,596,2018-06-15,west,1788.0
520,553,2018-06-16,north,1659.0
521,547,2018-06-16,south,1641.0
522,525,2018-06-16,east,1575.0
523,537,2018-06-16,west,1611.0
524,533,2018-06-17,north,1599.0
525,510,2018-06-17,south,1530.0
526,536,2018-06-17,east,1608.0
527,542,2018-06-17,west,1626.0
528,510,2018-06-18,north,1530.0
529,569,2018-06-18,south,1707.0
530,537,2018-06-18,east,1611.0
531,545,2018-06-18,west,1635.0
532,531,2018-06-19,north,1593.0
533,583,2018-06-19,south,1749.0
534,541,2018-06-19,east,1623.0
535,536,2018-06-19,west,1608.0
536,555,2018-06-20,north,1665.0
537,553,2018-06-20,south,1659.0
538,578,2018-06-20,east,1734.0
539,519,2018-06-20,west,1557.0
540,599,2018-06-21,north,1797.0
541,529,2018-06-21,south,1587.0
542,519,2018-06-21,east,1557.0
543,514,2018-06-21,west,1542.0
544,581,2018-06-22,north,1743.0
545,599,2018-06-22,south,1797.0
546,562,2018-06-22,east,1686.0
547,561,2018-06-22,west,1683.0
548,597,2018-06-23,north,1791.0
549,518,2018-06-23,south,1554.0
550,565,2018-06-23,east,1695.0
551,522,2018-06-23,west,1566.0
552,521,2018-06-24,north,1563.0
553,541,2018-06-24,south,1623.0
554,510,2018-06-24,east,1530.0
555,554,2018-06-24,west,1662.0
556,550,2018-06-25,north,1650.0
557,534,2018-06-25,south,1602.0
558,516,2018-06-25,east,1548.0
559,541,2018-06-25,west,1623.0
560,576,2018-06-26,north,1728.0
561,511,2018-06-26,south,1533.0
562,501,2018-06-26,east,1503.0
563,543,2018-06-26,west,1629.0
564,527,2018-06-27,north,1581.0
565,553,2018-06-27,south,1659.0
566,569,2018-06-27,east,1707.0
567,555,2018-06-27,west,1665.0
568,521,2018-06-28,north,1563.0
569,546,2018-06-28,south,1638.0
570,564,2018-06-28,east,1692.0
571,501,2018-06-28,west,1503.0
572,562,2018-06-29,north,1686.0
573,588,2018-06-29,south,1764.0
574,543,2018-06-29,east,1629.0
575,593,2018-06-29,west,1779.0
576,518,2018-06-30,north,1554.0
577,551,2018-06-30,south,1653.0
578,505,2018-06-30,east,1515.0
579,519,2018-06-30,west,1557.0
580,582,2018-07-01,north,1746.0
581,557,2018-07-01,south,1671.0
582,572,2018-07-01,east,1716.0
583,518,2018-07-01,west,1554.0
584,565,2018-07-02,north,1695.0
585,537,2018-07-02,south,1611.0
586,560,2018-07-02,east,1680.0
587,557,2018-07-02,west,1671.0
588,548,2018-07-03,north,1644.0
589,546,2018-07-03,south,1638.0
590,541,2018-07-03,east,1623.0
591,505,2018-07-03,west,1515.0
592,581,2018-07-04,north,1743.0
593,529,2018-07-04,south,1587.0
594,588,2018-07-04,east,1764.0
595,524,2018-07-04,west,1572.0
596,584,2018-07-05,north,1752.0
597,549,2018-07-05,south,1647.0
598,525,2018-07-05,east,1575.0
599,500,2018-07-05,west,1500.0
600,581,2018-07-06,north,1743.0
601,522,2018-07-06,south,1566.0
602,586,2018-07-06,east,1758.0
603,563,2018-07-06,west,1689.0
604,592,2018-07-07,north,1776.0
605,590,2018-07-07,south,1770.0
606,565,2018-07-07,east,1695.0
607,522,2018-07-07,west,1566.0
608,541,2018-07-08,north,1623.0
609,592,2018-07-08,south,1776.0
610,505,2018-07-08,east,1515.0
611,587,2018-07-08,west,1761.0
612,541,2018-07-09,north,1623.0
613,596,2018-07-09,south,1788.0
614,514,2018-07-09,east,1542.0
615,505,2018-07-09,west,1515.0
616,598,2018-07-10,north,1794.0
617,598,2018-07-10,south,1794.0
618,585,2018-07-10,east,1755.0
619,587,2018-07-10,west,1761.0
620,535,2018-07-11,north,1605.0
621,523,2018-07-11,south,1569.0
622,546,2018-07-11,east,1638.0
623,559,2018-07-11,west,1677.0
624,531,2018-07-12,north,1593.0
625,500,2018-07-12,south,1500.0
626,513,2018-07-12,east,1539.0
627,573,2018-07-12,west,1719.0
628,583,2018-07-13,north,1749.0
629,532,2018-07-13,south,1596.0
630,560,2018-07-13,east,1680.0
631,503,2018-07-13,west,1509.0
632,500,2018-07-14,north,1500.0
633,551,2018-07-14,south,1653.0
634,540,2018-07-14,east,1620.0
635,525,2018-07-14,west,1575.0
636,579,2018-07-15,north,1737.0
637,571,2018-07-15,south,1713.0
638,566,2018-07-15,east,1698.0
639,513,2018-07-15,west,1539.0
640,591,2018-07-16,north,1773.0
641,569,2018-07-16,south,1707.0
642,518,2018-07-16,east,1554.0
643,505,2018-07-16,west,1515.0
644,517,2018-07-17,north,1551.0
645,522,2018-07-17,south,1566.0
646,596,2018-07-17,east,1788.0
647,538,2018-07-17,west,1614.0
648,568,2018-07-18,north,1704.0
649,552,2018-07-18,south,1656.0
650,510,2018-07-18,east,1530.0
651,553,2018-07-18,west,1659.0
652,540,2018-07-19,north,1620.0
653,575,2018-07-19,south,1725.0
654,568,2018-07-19,east,1704.0
655,509,2018-07-19,west,1527.0
656,577,2018-07-20,north,1731.0
657,587,2018-07-20,south,1761.0
658,548,2018-07-20,east,1644.0
659,551,2018-07-20,west,1653.0
660,575,2018-07-21,north,1725.0
661,566,2018-07-21,south,1698.0
662,554,2018-07-21,east,1662.0
663,552,2018-07-21,west,1656.0
664,536,2018-07-22,north,1608.0
665,591,2018-07-22,south,1773.0
666,553,2018-07-22,east,1659.0
667,549,2018-07-22,west,1647.0
668,546,2018-07-23,north,1638.0
669,541,2018-07-23,south,1623.0
670,573,2018-07-23,east,1719.0
671,543,2018-07-23,west,1629.0
672,567,2018-07-24,north,1701.0
673,575,2018-07-24,south,1725.0
674,584,2018-07-24,east,1752.0
675,519,2018-07-24,west,1557.0
676,500,2018-07-25,north,1500.0
677,569,2018-07-25,south,1707.0
678,511,2018-07-25,east,1533.0
679,579,2018-07-25,west,1737.0
680,535,2018-07-26,north,1605.0
681,589,2018-07-26,south,1767.0
682,517,2018-07-26,east,1551.0
683,507,2018-07-26,west,1521.0
684,553,2018-07-27,north,1659.0
685,537,2018-07-27,south,1611.0
686,565,2018-07-27,east,1695.0
687,544,2018-07-27,west,1632.0
688,505,2018-07-28,north,1515.0
689,528,2018-07-28,south,1584.0
690,532,2018-07-28,east,1596.0
691,581,2018-07-28,west,1743.0
692,597,2018-07-29,north,1791.0
693,533,2018-07-29,south,1599.0
694,583,2018-07-29,east,1749.0
695,585,2018-07-29,west,1755.0
696,585,2018-07-30,north,1755.0
697,554,2018-07-30,south,1662.0
698,503,2018-07-30,east,1509.0
699,592,2018-07-30,west,1776.0
700,565,2018-07-31,north,1695.0
701,569,2018-07-31,south,1707.0
702,516,2018-07-31,east,1548.0
703,526,2018-07-31,west,1578.0
704,521,2018-08-01,north,1563.0
705,558,2018-08-01,south,1674.0
706,518,2018-08-01,east,1554.0
707,555,2018-08-01,west,1665.0
708,509,2018-08-02,north,1527.0
709,539,2018-08-02,south,1617.0
710,516,2018-08-02,east,1548.0
711,557,2018-08-02,west,1671.0
712,556,2018-08-03,north,1668.0
713,557,2018-08-03,south,1671.0
714,573,2018-08-03,east,1719.0
715,556,2018-08-03,west,1668.0
716,512,2018-08-04,north,1536.0
717,578,2018-08-04,south,1734.0
718,581,2018-08-04,east,1743.0
719,592,2018-08-04,west,1776.0
720,550,2018-08-05,north,1650.0
721,533,2018-08-05,south,1599.0
722,538,2018-08-05,east,1614.0
723,591,2018-08-05,west,1773.0
724,537,2018-08-06,north,1611.0
725,535,2018-08-06,south,1605.0
726,518,2018-08-06,east,1554.0
727,596,2018-08-06,west,1788.0
728,522,2018-08-07,north,1566.0
729,520,2018-08-07,south,1560.0
730,517,2018-08-07,east,1551.0
731,542,2018-08-07,west,1626.0
732,555,2018-08-08,north,1665.0
733,513,2018-08-08,south,1539.0
734,502,2018-08-08,east,1506.0
735,539,2018-08-08,west,1617.0
736,599,2018-08-09,north,1797.0
737,598,2018-08-09,south,1794.0
738,540,2018-08-09,east,1620.0
739,561,2018-08-09,west,1683.0
740,540,2018-08-10,north,1620.0
741,518,2018-08-10,south,1554.0
742,567,2018-08-10,east,1701.0
743,595,2018-08-10,west,1785.0
744,563,2018-08-11,north,1689.0
745,550,2018-08-11,south,1650.0
746,511,2018-08-11,east,1533.0
747,529,2018-08-11,west,1587.0
748,503,2018-08-12,north,1509.0
749,581,2018-08-12,south,1743.0
750,573,2018-08-12,east,1719.0
751,581,2018-08-12,west,1743.0
752,567,2018-08-13,north,1701.0
753,543,2018-08-13,south,1629.0
754,546,2018-08-13,east,1638.0
755,537,2018-08-13,west,1611.0
756,541,2018-08-14,north,1623.0
757,545,2018-08-14,south,1635.0
758,572,2018-08-14,east,1716.0
759,569,2018-08-14,west,1707.0
760,534,2018-08-15,north,1602.0
761,514,2018-08-15,south,1542.0
762,600,2018-08-15,east,1800.0
763,578,2018-08-15,west,1734.0
764,596,2018-08-16,north,1788.0
765,538,2018-08-16,south,1614.0
766,581,2018-08-16,east,1743.0
767,590,2018-08-16,west,1770.0
768,592,2018-08-17,north,1776.0
769,571,2018-08-17,south,1713.0
770,541,2018-08-17,east,1623.0
771,584,2018-08-17,west,1752.0
772,509,2018-08-18,north,1527.0
773,592,2018-08-18,south,1776.0
774,563,2018-08-18,east,1689.0
775,571,2018-08-18,west,1713.0
